[I] exp_name	dataset_src	dataset_dest	accuracy	accuracy_top3	accuracy_top5	precision	recall	f1	avg_guess_entropy	max_guess_entropy
[I] gp_age/1	AES_Shivam_labels_train_byte	AES_Shivam_labels_test_byte	0.0058	0.01515	0.0257	0.04236771804273702	0.005267290736436005	0.006291621272397431	121.2066	255.0
[I] gp_age/1	AES_Shivam_labels_train_byte	ASCAD_labels_test_byte	0.0035	0.0115	0.0195	0.0035	0.00390625	0.006975585450921773	127.45791666666666	255.0
[I] gp_age/1	AES_Shivam_labels_train_byte	Random_delay_labels_test_byte	0.0049	0.0117	0.0192	0.0049	0.00390625	0.009752214150661758	127.1453	255.0
[I] gp_age/1	AES_Shivam_labels_train_byte	DPAv4_labels_test_byte	0.0037199256014879703	0.01127977440451191	0.019379612407751844	0.0037199256014879703	0.00390625	0.007412278079980872	127.12590748185036	255.0
[I] gp_age/10	AES_Shivam_labels_train_byte	AES_Shivam_labels_test_byte	0.0058	0.01515	0.0257	0.04236771804273702	0.005267290736436005	0.006291621272397431	121.2066	255.0
[I] gp_age/10	AES_Shivam_labels_train_byte	ASCAD_labels_test_byte	0.0035	0.0115	0.0195	0.0035	0.00390625	0.006975585450921773	127.45791666666666	255.0
[I] gp_age/10	AES_Shivam_labels_train_byte	Random_delay_labels_test_byte	0.0049	0.0117	0.0192	0.0049	0.00390625	0.009752214150661758	127.1453	255.0
[I] gp_age/10	AES_Shivam_labels_train_byte	DPAv4_labels_test_byte	0.0037199256014879703	0.01127977440451191	0.019379612407751844	0.0037199256014879703	0.00390625	0.007412278079980872	127.12590748185036	255.0
[I] gp_age/11	AES_Shivam_labels_train_byte	AES_Shivam_labels_test_byte	0.00605	0.0163	0.0264	0.020852785994159732	0.005521804404669824	0.002650114934256424	120.19645	255.0
[I] gp_age/11	AES_Shivam_labels_train_byte	ASCAD_labels_test_byte	0.003416666666666667	0.011833333333333333	0.018666666666666668	0.003416666666666667	0.00390625	0.006810065609168674	127.46075	255.0
[I] gp_age/11	AES_Shivam_labels_train_byte	Random_delay_labels_test_byte	0.0049	0.0118	0.0184	0.0049	0.00390625	0.009752214150661758	127.2687	255.0
[I] gp_age/11	AES_Shivam_labels_train_byte	DPAv4_labels_test_byte	0.004469910601787965	0.011489770204595908	0.01883962320753585	0.004469910601787965	0.00390625	0.008900038825672729	127.22160556788864	255.0
[I] gp_age/12	AES_Shivam_labels_train_byte	AES_Shivam_labels_test_byte	0.0059	0.0155	0.0254	0.0018185715162651107	0.005435303110051443	0.0028624698740532476	121.10855	255.0
[I] gp_age/12	AES_Shivam_labels_train_byte	ASCAD_labels_test_byte	0.004583333333333333	0.0125	0.020083333333333335	0.004583333333333333	0.00390625	0.009124844462878473	127.51183333333333	255.0
[I] gp_age/12	AES_Shivam_labels_train_byte	Random_delay_labels_test_byte	0.0051	0.0125	0.0196	0.002186862044632439	0.0045957019171304885	0.004301446817320783	127.3347	255.0
[I] gp_age/12	AES_Shivam_labels_train_byte	DPAv4_labels_test_byte	0.003629927401451971	0.0125097498050039	0.020219595608087837	0.003629927401451971	0.00390625	0.007233597369600956	127.38645227095458	255.0
[I] gp_age/13	AES_Shivam_labels_train_byte	AES_Shivam_labels_test_byte	0.0058	0.01515	0.0257	0.04236771804273702	0.005267290736436005	0.006291621272397431	121.2066	255.0
[I] gp_age/13	AES_Shivam_labels_train_byte	ASCAD_labels_test_byte	0.0035	0.0115	0.0195	0.0035	0.00390625	0.006975585450921773	127.45791666666666	255.0
[I] gp_age/13	AES_Shivam_labels_train_byte	Random_delay_labels_test_byte	0.0049	0.0117	0.0192	0.0049	0.00390625	0.009752214150661758	127.1453	255.0
[I] gp_age/13	AES_Shivam_labels_train_byte	DPAv4_labels_test_byte	0.0037199256014879703	0.01127977440451191	0.019379612407751844	0.0037199256014879703	0.00390625	0.007412278079980872	127.12590748185036	255.0
[I] gp_age/14	AES_Shivam_labels_train_byte	AES_Shivam_labels_test_byte	0.00605	0.0163	0.0264	0.020852785994159732	0.005521804404669824	0.002650114934256424	120.19645	255.0
[I] gp_age/14	AES_Shivam_labels_train_byte	ASCAD_labels_test_byte	0.003416666666666667	0.011833333333333333	0.018666666666666668	0.003416666666666667	0.00390625	0.006810065609168674	127.46075	255.0
[I] gp_age/14	AES_Shivam_labels_train_byte	Random_delay_labels_test_byte	0.0049	0.0118	0.0184	0.0049	0.00390625	0.009752214150661758	127.2687	255.0
[I] gp_age/14	AES_Shivam_labels_train_byte	DPAv4_labels_test_byte	0.004469910601787965	0.011489770204595908	0.01883962320753585	0.004469910601787965	0.00390625	0.008900038825672729	127.22160556788864	255.0
[I] gp_age/15	AES_Shivam_labels_train_byte	AES_Shivam_labels_test_byte	0.0059	0.0155	0.0254	0.0018185715162651107	0.005435303110051443	0.0028624698740532476	121.10855	255.0
[I] gp_age/15	AES_Shivam_labels_train_byte	ASCAD_labels_test_byte	0.004583333333333333	0.0125	0.020083333333333335	0.004583333333333333	0.00390625	0.009124844462878473	127.51183333333333	255.0
[I] gp_age/15	AES_Shivam_labels_train_byte	Random_delay_labels_test_byte	0.0051	0.0125	0.0196	0.002186862044632439	0.0045957019171304885	0.004301446817320783	127.3347	255.0
[I] gp_age/15	AES_Shivam_labels_train_byte	DPAv4_labels_test_byte	0.003629927401451971	0.0125097498050039	0.020219595608087837	0.003629927401451971	0.00390625	0.007233597369600956	127.38645227095458	255.0
[I] gp_age/16	AES_Shivam_labels_train_byte	AES_Shivam_labels_test_byte	0.0058	0.01515	0.0257	0.04236771804273702	0.005267290736436005	0.006291621272397431	121.2066	255.0
[I] gp_age/16	AES_Shivam_labels_train_byte	ASCAD_labels_test_byte	0.0035	0.0115	0.0195	0.0035	0.00390625	0.006975585450921773	127.45791666666666	255.0
[I] gp_age/16	AES_Shivam_labels_train_byte	Random_delay_labels_test_byte	0.0049	0.0117	0.0192	0.0049	0.00390625	0.009752214150661758	127.1453	255.0
[I] gp_age/16	AES_Shivam_labels_train_byte	DPAv4_labels_test_byte	0.0037199256014879703	0.01127977440451191	0.019379612407751844	0.0037199256014879703	0.00390625	0.007412278079980872	127.12590748185036	255.0
[I] gp_age/17	AES_Shivam_labels_train_byte	AES_Shivam_labels_test_byte	0.00605	0.0163	0.0264	0.020852785994159732	0.005521804404669824	0.002650114934256424	120.19645	255.0
[I] gp_age/17	AES_Shivam_labels_train_byte	ASCAD_labels_test_byte	0.003416666666666667	0.011833333333333333	0.018666666666666668	0.003416666666666667	0.00390625	0.006810065609168674	127.46075	255.0
[I] gp_age/17	AES_Shivam_labels_train_byte	Random_delay_labels_test_byte	0.0049	0.0118	0.0184	0.0049	0.00390625	0.009752214150661758	127.2687	255.0
[I] gp_age/17	AES_Shivam_labels_train_byte	DPAv4_labels_test_byte	0.004469910601787965	0.011489770204595908	0.01883962320753585	0.004469910601787965	0.00390625	0.008900038825672729	127.22160556788864	255.0
[I] gp_age/18	AES_Shivam_labels_train_byte	AES_Shivam_labels_test_byte	0.0059	0.0155	0.0254	0.0018185715162651107	0.005435303110051443	0.0028624698740532476	121.10855	255.0
[I] gp_age/18	AES_Shivam_labels_train_byte	ASCAD_labels_test_byte	0.004583333333333333	0.0125	0.020083333333333335	0.004583333333333333	0.00390625	0.009124844462878473	127.51183333333333	255.0
[I] gp_age/18	AES_Shivam_labels_train_byte	Random_delay_labels_test_byte	0.0051	0.0125	0.0196	0.002186862044632439	0.0045957019171304885	0.004301446817320783	127.3347	255.0
[I] gp_age/18	AES_Shivam_labels_train_byte	DPAv4_labels_test_byte	0.003629927401451971	0.0125097498050039	0.020219595608087837	0.003629927401451971	0.00390625	0.007233597369600956	127.38645227095458	255.0
[I] gp_age/19	AES_Shivam_labels_train_byte	AES_Shivam_labels_test_byte	0.0058	0.01515	0.0257	0.04236771804273702	0.005267290736436005	0.006291621272397431	121.2066	255.0
[I] gp_age/19	AES_Shivam_labels_train_byte	ASCAD_labels_test_byte	0.0035	0.0115	0.0195	0.0035	0.00390625	0.006975585450921773	127.45791666666666	255.0
[I] gp_age/19	AES_Shivam_labels_train_byte	Random_delay_labels_test_byte	0.0049	0.0117	0.0192	0.0049	0.00390625	0.009752214150661758	127.1453	255.0
[I] gp_age/19	AES_Shivam_labels_train_byte	DPAv4_labels_test_byte	0.0037199256014879703	0.01127977440451191	0.019379612407751844	0.0037199256014879703	0.00390625	0.007412278079980872	127.12590748185036	255.0
[I] gp_age/2	AES_Shivam_labels_train_byte	AES_Shivam_labels_test_byte	0.00605	0.0163	0.0264	0.020852785994159732	0.005521804404669824	0.002650114934256424	120.19645	255.0
[I] gp_age/2	AES_Shivam_labels_train_byte	ASCAD_labels_test_byte	0.003416666666666667	0.011833333333333333	0.018666666666666668	0.003416666666666667	0.00390625	0.006810065609168674	127.46075	255.0
[I] gp_age/2	AES_Shivam_labels_train_byte	Random_delay_labels_test_byte	0.0049	0.0118	0.0184	0.0049	0.00390625	0.009752214150661758	127.2687	255.0
[I] gp_age/2	AES_Shivam_labels_train_byte	DPAv4_labels_test_byte	0.004469910601787965	0.011489770204595908	0.01883962320753585	0.004469910601787965	0.00390625	0.008900038825672729	127.22160556788864	255.0
[I] gp_age/20	AES_Shivam_labels_train_byte	AES_Shivam_labels_test_byte	0.00605	0.0163	0.0264	0.020852785994159732	0.005521804404669824	0.002650114934256424	120.19645	255.0
[I] gp_age/20	AES_Shivam_labels_train_byte	ASCAD_labels_test_byte	0.003416666666666667	0.011833333333333333	0.018666666666666668	0.003416666666666667	0.00390625	0.006810065609168674	127.46075	255.0
[I] gp_age/20	AES_Shivam_labels_train_byte	Random_delay_labels_test_byte	0.0049	0.0118	0.0184	0.0049	0.00390625	0.009752214150661758	127.2687	255.0
[I] gp_age/20	AES_Shivam_labels_train_byte	DPAv4_labels_test_byte	0.004469910601787965	0.011489770204595908	0.01883962320753585	0.004469910601787965	0.00390625	0.008900038825672729	127.22160556788864	255.0
[I] gp_age/21	AES_Shivam_labels_train_byte	AES_Shivam_labels_test_byte	0.0059	0.0155	0.0254	0.0018185715162651107	0.005435303110051443	0.0028624698740532476	121.10855	255.0
[I] gp_age/21	AES_Shivam_labels_train_byte	ASCAD_labels_test_byte	0.004583333333333333	0.0125	0.020083333333333335	0.004583333333333333	0.00390625	0.009124844462878473	127.51183333333333	255.0
[I] gp_age/21	AES_Shivam_labels_train_byte	Random_delay_labels_test_byte	0.0051	0.0125	0.0196	0.002186862044632439	0.0045957019171304885	0.004301446817320783	127.3347	255.0
[I] gp_age/21	AES_Shivam_labels_train_byte	DPAv4_labels_test_byte	0.003629927401451971	0.0125097498050039	0.020219595608087837	0.003629927401451971	0.00390625	0.007233597369600956	127.38645227095458	255.0
[I] gp_age/22	AES_Shivam_labels_train_byte	AES_Shivam_labels_test_byte	0.0058	0.01515	0.0257	0.04236771804273702	0.005267290736436005	0.006291621272397431	121.2066	255.0
[I] gp_age/22	AES_Shivam_labels_train_byte	ASCAD_labels_test_byte	0.0035	0.0115	0.0195	0.0035	0.00390625	0.006975585450921773	127.45791666666666	255.0
[I] gp_age/22	AES_Shivam_labels_train_byte	Random_delay_labels_test_byte	0.0049	0.0117	0.0192	0.0049	0.00390625	0.009752214150661758	127.1453	255.0
[I] gp_age/22	AES_Shivam_labels_train_byte	DPAv4_labels_test_byte	0.0037199256014879703	0.01127977440451191	0.019379612407751844	0.0037199256014879703	0.00390625	0.007412278079980872	127.12590748185036	255.0
[I] gp_age/23	AES_Shivam_labels_train_byte	AES_Shivam_labels_test_byte	0.00605	0.0163	0.0264	0.020852785994159732	0.005521804404669824	0.002650114934256424	120.19645	255.0
[I] gp_age/23	AES_Shivam_labels_train_byte	ASCAD_labels_test_byte	0.003416666666666667	0.011833333333333333	0.018666666666666668	0.003416666666666667	0.00390625	0.006810065609168674	127.46075	255.0
[I] gp_age/23	AES_Shivam_labels_train_byte	Random_delay_labels_test_byte	0.0049	0.0118	0.0184	0.0049	0.00390625	0.009752214150661758	127.2687	255.0
[I] gp_age/23	AES_Shivam_labels_train_byte	DPAv4_labels_test_byte	0.004469910601787965	0.011489770204595908	0.01883962320753585	0.004469910601787965	0.00390625	0.008900038825672729	127.22160556788864	255.0
[I] gp_age/24	AES_Shivam_labels_train_byte	AES_Shivam_labels_test_byte	0.0059	0.0155	0.0254	0.0018185715162651107	0.005435303110051443	0.0028624698740532476	121.10855	255.0
[I] gp_age/24	AES_Shivam_labels_train_byte	ASCAD_labels_test_byte	0.004583333333333333	0.0125	0.020083333333333335	0.004583333333333333	0.00390625	0.009124844462878473	127.51183333333333	255.0
[I] gp_age/24	AES_Shivam_labels_train_byte	Random_delay_labels_test_byte	0.0051	0.0125	0.0196	0.002186862044632439	0.0045957019171304885	0.004301446817320783	127.3347	255.0
[I] gp_age/24	AES_Shivam_labels_train_byte	DPAv4_labels_test_byte	0.003629927401451971	0.0125097498050039	0.020219595608087837	0.003629927401451971	0.00390625	0.007233597369600956	127.38645227095458	255.0
[I] gp_age/25	AES_Shivam_labels_train_byte	AES_Shivam_labels_test_byte	0.0058	0.01515	0.0257	0.04236771804273702	0.005267290736436005	0.006291621272397431	121.2066	255.0
[I] gp_age/25	AES_Shivam_labels_train_byte	ASCAD_labels_test_byte	0.0035	0.0115	0.0195	0.0035	0.00390625	0.006975585450921773	127.45791666666666	255.0
[I] gp_age/25	AES_Shivam_labels_train_byte	Random_delay_labels_test_byte	0.0049	0.0117	0.0192	0.0049	0.00390625	0.009752214150661758	127.1453	255.0
[I] gp_age/25	AES_Shivam_labels_train_byte	DPAv4_labels_test_byte	0.0037199256014879703	0.01127977440451191	0.019379612407751844	0.0037199256014879703	0.00390625	0.007412278079980872	127.12590748185036	255.0
[I] gp_age/26	AES_Shivam_labels_train_byte	AES_Shivam_labels_test_byte	0.00605	0.0163	0.0264	0.020852785994159732	0.005521804404669824	0.002650114934256424	120.19645	255.0
[I] gp_age/26	AES_Shivam_labels_train_byte	ASCAD_labels_test_byte	0.003416666666666667	0.011833333333333333	0.018666666666666668	0.003416666666666667	0.00390625	0.006810065609168674	127.46075	255.0
[I] gp_age/26	AES_Shivam_labels_train_byte	Random_delay_labels_test_byte	0.0049	0.0118	0.0184	0.0049	0.00390625	0.009752214150661758	127.2687	255.0
[I] gp_age/26	AES_Shivam_labels_train_byte	DPAv4_labels_test_byte	0.004469910601787965	0.011489770204595908	0.01883962320753585	0.004469910601787965	0.00390625	0.008900038825672729	127.22160556788864	255.0
[I] gp_age/27	AES_Shivam_labels_train_byte	AES_Shivam_labels_test_byte	0.0059	0.0155	0.0254	0.0018185715162651107	0.005435303110051443	0.0028624698740532476	121.10855	255.0
[I] gp_age/27	AES_Shivam_labels_train_byte	ASCAD_labels_test_byte	0.004583333333333333	0.0125	0.020083333333333335	0.004583333333333333	0.00390625	0.009124844462878473	127.51183333333333	255.0
[I] gp_age/27	AES_Shivam_labels_train_byte	Random_delay_labels_test_byte	0.0051	0.0125	0.0196	0.002186862044632439	0.0045957019171304885	0.004301446817320783	127.3347	255.0
[I] gp_age/27	AES_Shivam_labels_train_byte	DPAv4_labels_test_byte	0.003629927401451971	0.0125097498050039	0.020219595608087837	0.003629927401451971	0.00390625	0.007233597369600956	127.38645227095458	255.0
[I] gp_age/28	AES_Shivam_labels_train_byte	AES_Shivam_labels_test_byte	0.0058	0.01515	0.0257	0.04236771804273702	0.005267290736436005	0.006291621272397431	121.2066	255.0
[I] gp_age/28	AES_Shivam_labels_train_byte	ASCAD_labels_test_byte	0.0035	0.0115	0.0195	0.0035	0.00390625	0.006975585450921773	127.45791666666666	255.0
[I] gp_age/28	AES_Shivam_labels_train_byte	Random_delay_labels_test_byte	0.0049	0.0117	0.0192	0.0049	0.00390625	0.009752214150661758	127.1453	255.0
[I] gp_age/28	AES_Shivam_labels_train_byte	DPAv4_labels_test_byte	0.0037199256014879703	0.01127977440451191	0.019379612407751844	0.0037199256014879703	0.00390625	0.007412278079980872	127.12590748185036	255.0
[I] gp_age/29	AES_Shivam_labels_train_byte	AES_Shivam_labels_test_byte	0.00605	0.0163	0.0264	0.020852785994159732	0.005521804404669824	0.002650114934256424	120.19645	255.0
[I] gp_age/29	AES_Shivam_labels_train_byte	ASCAD_labels_test_byte	0.003416666666666667	0.011833333333333333	0.018666666666666668	0.003416666666666667	0.00390625	0.006810065609168674	127.46075	255.0
[I] gp_age/29	AES_Shivam_labels_train_byte	Random_delay_labels_test_byte	0.0049	0.0118	0.0184	0.0049	0.00390625	0.009752214150661758	127.2687	255.0
[I] gp_age/29	AES_Shivam_labels_train_byte	DPAv4_labels_test_byte	0.004469910601787965	0.011489770204595908	0.01883962320753585	0.004469910601787965	0.00390625	0.008900038825672729	127.22160556788864	255.0
[I] gp_age/3	AES_Shivam_labels_train_byte	AES_Shivam_labels_test_byte	0.0059	0.0155	0.0254	0.0018185715162651107	0.005435303110051443	0.0028624698740532476	121.10855	255.0
[I] gp_age/3	AES_Shivam_labels_train_byte	ASCAD_labels_test_byte	0.004583333333333333	0.0125	0.020083333333333335	0.004583333333333333	0.00390625	0.009124844462878473	127.51183333333333	255.0
[I] gp_age/3	AES_Shivam_labels_train_byte	Random_delay_labels_test_byte	0.0051	0.0125	0.0196	0.002186862044632439	0.0045957019171304885	0.004301446817320783	127.3347	255.0
[I] gp_age/3	AES_Shivam_labels_train_byte	DPAv4_labels_test_byte	0.003629927401451971	0.0125097498050039	0.020219595608087837	0.003629927401451971	0.00390625	0.007233597369600956	127.38645227095458	255.0
[I] gp_age/30	AES_Shivam_labels_train_byte	AES_Shivam_labels_test_byte	0.0059	0.0155	0.0254	0.0018185715162651107	0.005435303110051443	0.0028624698740532476	121.10855	255.0
[I] gp_age/30	AES_Shivam_labels_train_byte	ASCAD_labels_test_byte	0.004583333333333333	0.0125	0.020083333333333335	0.004583333333333333	0.00390625	0.009124844462878473	127.51183333333333	255.0
[I] gp_age/30	AES_Shivam_labels_train_byte	Random_delay_labels_test_byte	0.0051	0.0125	0.0196	0.002186862044632439	0.0045957019171304885	0.004301446817320783	127.3347	255.0
[I] gp_age/30	AES_Shivam_labels_train_byte	DPAv4_labels_test_byte	0.003629927401451971	0.0125097498050039	0.020219595608087837	0.003629927401451971	0.00390625	0.007233597369600956	127.38645227095458	255.0
[I] gp_age/4	AES_Shivam_labels_train_byte	AES_Shivam_labels_test_byte	0.0058	0.01515	0.0257	0.04236771804273702	0.005267290736436005	0.006291621272397431	121.2066	255.0
[I] gp_age/4	AES_Shivam_labels_train_byte	ASCAD_labels_test_byte	0.0035	0.0115	0.0195	0.0035	0.00390625	0.006975585450921773	127.45791666666666	255.0
[I] gp_age/4	AES_Shivam_labels_train_byte	Random_delay_labels_test_byte	0.0049	0.0117	0.0192	0.0049	0.00390625	0.009752214150661758	127.1453	255.0
[I] gp_age/4	AES_Shivam_labels_train_byte	DPAv4_labels_test_byte	0.0037199256014879703	0.01127977440451191	0.019379612407751844	0.0037199256014879703	0.00390625	0.007412278079980872	127.12590748185036	255.0
[I] gp_age/5	AES_Shivam_labels_train_byte	AES_Shivam_labels_test_byte	0.00605	0.0163	0.0264	0.020852785994159732	0.005521804404669824	0.002650114934256424	120.19645	255.0
[I] gp_age/5	AES_Shivam_labels_train_byte	ASCAD_labels_test_byte	0.003416666666666667	0.011833333333333333	0.018666666666666668	0.003416666666666667	0.00390625	0.006810065609168674	127.46075	255.0
[I] gp_age/5	AES_Shivam_labels_train_byte	Random_delay_labels_test_byte	0.0049	0.0118	0.0184	0.0049	0.00390625	0.009752214150661758	127.2687	255.0
[I] gp_age/5	AES_Shivam_labels_train_byte	DPAv4_labels_test_byte	0.004469910601787965	0.011489770204595908	0.01883962320753585	0.004469910601787965	0.00390625	0.008900038825672729	127.22160556788864	255.0
[I] gp_age/6	AES_Shivam_labels_train_byte	AES_Shivam_labels_test_byte	0.0059	0.0155	0.0254	0.0018185715162651107	0.005435303110051443	0.0028624698740532476	121.10855	255.0
[I] gp_age/6	AES_Shivam_labels_train_byte	ASCAD_labels_test_byte	0.004583333333333333	0.0125	0.020083333333333335	0.004583333333333333	0.00390625	0.009124844462878473	127.51183333333333	255.0
[I] gp_age/6	AES_Shivam_labels_train_byte	Random_delay_labels_test_byte	0.0051	0.0125	0.0196	0.002186862044632439	0.0045957019171304885	0.004301446817320783	127.3347	255.0
[I] gp_age/6	AES_Shivam_labels_train_byte	DPAv4_labels_test_byte	0.003629927401451971	0.0125097498050039	0.020219595608087837	0.003629927401451971	0.00390625	0.007233597369600956	127.38645227095458	255.0
[I] gp_age/7	AES_Shivam_labels_train_byte	AES_Shivam_labels_test_byte	0.0058	0.01515	0.0257	0.04236771804273702	0.005267290736436005	0.006291621272397431	121.2066	255.0
[I] gp_age/7	AES_Shivam_labels_train_byte	ASCAD_labels_test_byte	0.0035	0.0115	0.0195	0.0035	0.00390625	0.006975585450921773	127.45791666666666	255.0
[I] gp_age/7	AES_Shivam_labels_train_byte	Random_delay_labels_test_byte	0.0049	0.0117	0.0192	0.0049	0.00390625	0.009752214150661758	127.1453	255.0
[I] gp_age/7	AES_Shivam_labels_train_byte	DPAv4_labels_test_byte	0.0037199256014879703	0.01127977440451191	0.019379612407751844	0.0037199256014879703	0.00390625	0.007412278079980872	127.12590748185036	255.0
[I] gp_age/8	AES_Shivam_labels_train_byte	AES_Shivam_labels_test_byte	0.00605	0.0163	0.0264	0.020852785994159732	0.005521804404669824	0.002650114934256424	120.19645	255.0
[I] gp_age/8	AES_Shivam_labels_train_byte	ASCAD_labels_test_byte	0.003416666666666667	0.011833333333333333	0.018666666666666668	0.003416666666666667	0.00390625	0.006810065609168674	127.46075	255.0
[I] gp_age/8	AES_Shivam_labels_train_byte	Random_delay_labels_test_byte	0.0049	0.0118	0.0184	0.0049	0.00390625	0.009752214150661758	127.2687	255.0
[I] gp_age/8	AES_Shivam_labels_train_byte	DPAv4_labels_test_byte	0.004469910601787965	0.011489770204595908	0.01883962320753585	0.004469910601787965	0.00390625	0.008900038825672729	127.22160556788864	255.0
[I] gp_age/9	AES_Shivam_labels_train_byte	AES_Shivam_labels_test_byte	0.0059	0.0155	0.0254	0.0018185715162651107	0.005435303110051443	0.0028624698740532476	121.10855	255.0
[I] gp_age/9	AES_Shivam_labels_train_byte	ASCAD_labels_test_byte	0.004583333333333333	0.0125	0.020083333333333335	0.004583333333333333	0.00390625	0.009124844462878473	127.51183333333333	255.0
[I] gp_age/9	AES_Shivam_labels_train_byte	Random_delay_labels_test_byte	0.0051	0.0125	0.0196	0.002186862044632439	0.0045957019171304885	0.004301446817320783	127.3347	255.0
[I] gp_age/9	AES_Shivam_labels_train_byte	DPAv4_labels_test_byte	0.003629927401451971	0.0125097498050039	0.020219595608087837	0.003629927401451971	0.00390625	0.007233597369600956	127.38645227095458	255.0
[I] gp_age/1	ASCAD_labels_train_byte	AES_Shivam_labels_test_byte	0.00395	0.01225	0.01935	0.001975098754937747	0.00390625	0.00393465484610021	127.46415	255.0
